

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    42.00000 -0.623000E+01  0.000000E+00 -0.623000E+01  0.000000E+00 -0.632904E+01    -37.323      0.000    -26.336      42
    43.00000 -0.622950E+01  0.000000E+00 -0.622950E+01  0.000000E+00 -0.642919E+01    -39.379      0.000    -26.524      43
    44.00000 -0.621870E+01  0.000000E+00 -0.621870E+01  0.000000E+00 -0.652334E+01    -43.350      0.000    -26.783      44
    45.00000 -0.618380E+01  0.000000E+00 -0.618380E+01  0.000000E+00 -0.661087E+01    -56.866      0.000    -27.090      45
    46.00000 -0.617960E+01  0.000000E+00 -0.617960E+01  0.000000E+00 -0.668938E+01    -57.389      0.000    -27.428      46
    47.00000 -0.616640E+01  0.000000E+00 -0.616640E+01  0.000000E+00 -0.676031E+01    -63.697      0.000    -27.775      47
    48.00000 -0.616490E+01  0.000000E+00 -0.616490E+01  0.000000E+00 -0.682442E+01    -61.440      0.000    -28.111      48
    49.00000 -0.616490E+01  0.000000E+00 -0.616490E+01  0.000000E+00 -0.688204E+01    -60.237      0.000    -28.427      49
    50.00000 -0.616260E+01  0.000000E+00 -0.616260E+01  0.000000E+00 -0.693406E+01    -60.673      0.000    -28.717      50
    51.00000 -0.613340E+01  0.000000E+00 -0.613340E+01  0.000000E+00 -0.698132E+01    -89.240      0.000    -28.982      51
    52.00000 -0.611740E+01  0.000000E+00 -0.611740E+01  0.000000E+00 -0.702477E+01   -109.162      0.000    -29.208      52
    53.00000 -0.609950E+01  0.000000E+00 -0.609950E+01  0.000000E+00 -0.706571E+01   -156.078      0.000    -29.430      53
    54.00000 -0.606560E+01  0.000000E+00 -0.606560E+01  0.000000E+00 -0.710449E+01   -489.263      0.000    -29.626      54
    55.00000 -0.604410E+01  0.000000E+00 -0.604410E+01  0.000000E+00 -0.714145E+01   -757.094      0.000    -29.793      55
    56.00000 -0.601930E+01  0.000000E+00 -0.601930E+01  0.000000E+00 -0.717739E+01  -1602.822      0.000    -30.022      56
    57.00000 -0.603950E+01  0.000000E+00 -0.603950E+01  0.000000E+00 -0.721288E+01    -94.896      0.000    -30.256      57
    58.00000 -0.602290E+01  0.000000E+00 -0.602290E+01  0.000000E+00 -0.724755E+01   -193.811      0.000    -30.465      58
    59.00000 -0.601580E+01  0.000000E+00 -0.601580E+01  0.000000E+00 -0.728141E+01   -321.299      0.000    -30.670      59
    60.00000 -0.599180E+01  0.000000E+00 -0.599180E+01  0.000000E+00 -0.731449E+01  -4459.170      0.000    -30.877      60
    61.00000 -0.596690E+01  0.000000E+00 -0.596780E+01  0.000000E+00 -0.734685E+01 -10000.000      0.000    -31.090      61
    62.00000 -0.593770E+01  0.000000E+00 -0.595731E+01  0.000000E+00 -0.737826E+01 -10000.000      0.000    -31.309      62
    63.00000 -0.591110E+01  0.000000E+00 -0.594883E+01  0.000000E+00 -0.740858E+01 -10000.000      0.000    -31.537      63
    64.00000 -0.591830E+01  0.000000E+00 -0.595603E+01  0.000000E+00 -0.743839E+01   -179.457      0.000    -31.768      64
    65.00000 -0.598360E+01  0.000000E+00 -0.602133E+01  0.000000E+00 -0.746729E+01    -48.350      0.000    -32.004      65
    66.00000 -0.699660E+01  0.000000E+00 -0.703433E+01  0.000000E+00 -0.749527E+01    -17.779      0.000    -32.245      66
    67.00000 -0.745080E+01  0.000000E+00 -0.748853E+01  0.000000E+00 -0.752229E+01    -20.487      0.000    -32.490      67
    68.00000 -0.746290E+01  0.000000E+00 -0.750063E+01  0.000000E+00 -0.754834E+01    -28.588      0.000    -32.738      68
    69.00000 -0.754930E+01  0.000000E+00 -0.758703E+01  0.000000E+00 -0.757342E+01    -27.578      0.000    -32.988      69
