time	parameter_1	parameter_2	parameter_3	objective_function	worker
2020-10-01 14:14:06	0.0973920285212807	2.53546862065559	336.754717491567	3.5796760949672	0
2020-10-01 14:14:06	0.0800747290160507	2.60085692995926	464.261280745268	2.03898261626244	0
2020-10-01 14:14:06	0.0820311436150223	2.57030046120053	359.895391319878	3.09795274434451	0
2020-10-01 14:14:06	0.0951517096720636	2.58179931010818	508.352813520469	1.9142309772868	0
2020-10-01 14:14:06	0.0941924988711253	2.71666546451161	472.219993360341	1.44990699408203	0
2020-10-01 14:14:06	0.148721800697967	2.55688801669748	484.651966346428	2.09855724409415	0
2020-10-01 14:14:06	0.107176084625535	2.59142959146993	551.21562264394	1.67526132784916	0
2020-10-01 14:14:06	0.0808329515974037	2.68501570541412	496.770656411536	1.52800243736487	0
2020-10-01 14:14:06	0.111012051543221	2.69853054452688	440.725119668059	1.64251186901983	0
2020-10-01 14:14:06	0.139729035655037	2.6290529051912	333.396547380835	2.80766523234614	0
2020-10-01 14:14:06	0.114441569386981	2.53924891521456	544.791508605704	2.02122626692722	0
2020-10-01 14:14:06	0.0829641087143682	2.58486703672679	400.672130752355	2.58195892817843	0
2020-10-01 14:14:06	0.118470237422734	2.7052408963209	591.479708394036	1.10108784721313	0
2020-10-01 14:14:06	0.119594782425556	2.70318791293539	448.717398103327	1.59651006629728	0
2020-10-01 14:14:06	0.107426533543039	2.55767308711074	394.23644640483	2.88940559844857	0
2020-10-01 14:14:06	0.122729779928923	2.64559696894139	356.114091700874	2.5414815591578	0
2020-10-01 14:14:06	0.11755533260759	2.60356802510796	387.172948429361	2.49335891884686	0
2020-10-01 14:14:06	0.107689450802281	2.54004571464611	439.286606549285	2.56536886766548	0
2020-10-01 14:14:06	0.146454261860345	2.53829293628223	309.845631639473	3.87983127494834	0
2020-10-01 14:14:06	0.109250865399372	2.62683107185876	475.115293473937	1.85814491504966	0
2020-10-01 14:14:06	0.123981248398777	2.62730973266298	438.731269561686	1.99127746996268	0
2020-10-01 14:14:06	0.147139296561945	2.62000456819078	438.948542322032	2.0238566110848	0
2020-10-01 14:14:06	0.101460859423969	2.72970288596116	389.386826357804	1.82565465283772	0
2020-10-01 14:14:06	0.0804504639585503	2.7111716135405	405.690756090917	1.82403079640564	0
2020-10-01 14:14:06	0.121140129105188	2.52313999907346	578.301540808752	1.97049070859	0
2020-10-01 14:14:06	0.115121810608543	2.54512437281664	524.514682777226	2.08049478182902	0
2020-10-01 14:14:06	0.147417747958098	2.71564724919153	345.50866317004	2.15064237005437	0
2020-10-01 14:14:06	0.110668140896596	2.53218088083668	330.229615070857	3.83323276039201	0
2020-10-01 14:14:06	0.14547541270731	2.60338050156133	304.720588540658	3.40191863319904	0
2020-10-01 14:14:06	0.124243786546867	2.69739134231349	553.986872895621	1.22247289248454	0
