 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 1.2022    Time:  16:13:57
 Units: L = cm   , T = days , M = mmol 
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.001 1.00000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     T     F     T     F     F     F     T     F     T     F     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1      0.000      0.070    1    1   0.000    1.000    1.000    1.000
   2    -10.000      0.070    1    1   0.000    1.000    1.000    1.000
   3    -20.000      0.070    1    1   0.000    1.000    1.000    1.000
   4    -30.000      0.070    1    1   0.000    1.000    1.000    1.000
   5    -40.000      0.070    1    1   0.000    1.000    1.000    1.000
   6    -50.000      0.070    1    1   0.000    1.000    1.000    1.000
   7    -60.000      0.070    1    1   0.000    1.000    1.000    1.000
   8    -70.000      0.070    1    1   0.000    1.000    1.000    1.000
   9    -80.000      0.070    1    1   0.000    1.000    1.000    1.000
  10    -90.000      0.070    1    1   0.000    1.000    1.000    1.000
  11   -100.000      0.070    1    1   0.000    1.000    1.000    1.000
end

 Number of species in the chain :   0


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.036  0.430   0.139E+00   0.275E+01   0.730E+03  0.450

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S          Kv
  0.4300  -0.110E-01 -0.1960E+01  0.1124E-05  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.138E-01 -0.1859E+01  0.1689E-05  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.175E-01 -0.1758E+01  0.2537E-05  0.7300E+03  0.2863E+01    1.0000  0.1176E-30
  0.4300  -0.221E-01 -0.1657E+01  0.3812E-05  0.7299E+03  0.2863E+01    1.0000  0.1176E-30
  0.4300  -0.278E-01 -0.1556E+01  0.5726E-05  0.7299E+03  0.2863E+01    1.0000  0.1185E-29
  0.4300  -0.351E-01 -0.1455E+01  0.8603E-05  0.7299E+03  0.2863E+01    1.0000  0.1195E-28
  0.4300  -0.443E-01 -0.1354E+01  0.1292E-04  0.7298E+03  0.2863E+01    1.0000  0.7715E-28
  0.4300  -0.559E-01 -0.1253E+01  0.1942E-04  0.7297E+03  0.2863E+01    1.0000  0.6074E-27
  0.4300  -0.705E-01 -0.1152E+01  0.2917E-04  0.7296E+03  0.2863E+01    1.0000  0.5372E-26
  0.4300  -0.890E-01 -0.1051E+01  0.4382E-04  0.7293E+03  0.2863E+01    1.0000  0.4726E-25
  0.4300  -0.112E+00 -0.9495E+00  0.6584E-04  0.7290E+03  0.2863E+01    1.0000  0.3841E-24
  0.4300  -0.142E+00 -0.8485E+00  0.9891E-04  0.7285E+03  0.2862E+01    1.0000  0.3263E-23
  0.4300  -0.179E+00 -0.7475E+00  0.1486E-03  0.7277E+03  0.2862E+01    1.0000  0.2747E-22
  0.4300  -0.226E+00 -0.6465E+00  0.2232E-03  0.7266E+03  0.2861E+01    1.0000  0.2326E-21
  0.4300  -0.285E+00 -0.5455E+00  0.3353E-03  0.7249E+03  0.2860E+01    0.9999  0.1956E-20
  0.4299  -0.359E+00 -0.4444E+00  0.5037E-03  0.7223E+03  0.2859E+01    0.9998  0.1651E-19
  0.4299  -0.453E+00 -0.3434E+00  0.7564E-03  0.7184E+03  0.2856E+01    0.9997  0.1391E-18
  0.4298  -0.572E+00 -0.2424E+00  0.1136E-02  0.7126E+03  0.2853E+01    0.9994  0.1172E-17
  0.4296  -0.722E+00 -0.1414E+00  0.1704E-02  0.7038E+03  0.2847E+01    0.9989  0.9854E-17
  0.4292  -0.911E+00 -0.4040E-01  0.2553E-02  0.6908E+03  0.2839E+01    0.9978  0.8273E-16
  0.4284  -0.115E+01  0.6061E-01  0.3816E-02  0.6714E+03  0.2827E+01    0.9959  0.6919E-15
  0.4270  -0.145E+01  0.1616E+00  0.5680E-02  0.6427E+03  0.2808E+01    0.9923  0.5744E-14
  0.4243  -0.183E+01  0.2626E+00  0.8384E-02  0.6011E+03  0.2779E+01    0.9856  0.4703E-13
  0.4194  -0.231E+01  0.3636E+00  0.1219E-01  0.5421E+03  0.2734E+01    0.9731  0.3754E-12
  0.4105  -0.292E+01  0.4646E+00  0.1724E-01  0.4623E+03  0.2665E+01    0.9505  0.2861E-11
  0.3950  -0.368E+01  0.5657E+00  0.2323E-01  0.3619E+03  0.2559E+01    0.9112  0.2010E-10
  0.3697  -0.464E+01  0.6667E+00  0.2892E-01  0.2501E+03  0.2398E+01    0.8469  0.1234E-09
  0.3322  -0.586E+01  0.7677E+00  0.3198E-01  0.1459E+03  0.2164E+01    0.7517  0.6177E-09
  0.2838  -0.739E+01  0.8687E+00  0.3036E-01  0.6947E+02  0.1842E+01    0.6289  0.2359E-08
  0.2304  -0.933E+01  0.9697E+00  0.2446E-01  0.2683E+02  0.1429E+01    0.4935  0.6653E-08
  0.1802  -0.118E+02  0.1071E+01  0.1702E-01  0.8653E+01  0.9372E+00    0.3659  0.1407E-07
  0.1384  -0.148E+02  0.1172E+01  0.1062E-01  0.2445E+01  0.3883E+00    0.2599  0.2355E-07
  0.1068  -0.187E+02  0.1273E+01  0.6163E-02  0.6344E+00 -0.1976E+00    0.1796  0.3321E-07
  0.0841  -0.236E+02  0.1374E+01  0.3428E-02  0.1564E+00 -0.8056E+00    0.1220  0.4163E-07
  0.0684  -0.298E+02  0.1475E+01  0.1861E-02  0.3749E-01 -0.1426E+01    0.0821  0.4828E-07
  0.0577  -0.376E+02  0.1576E+01  0.9966E-03  0.8843E-02 -0.2053E+01    0.0550  0.5320E-07
  0.0505  -0.475E+02  0.1677E+01  0.5300E-03  0.2068E-02 -0.2684E+01    0.0367  0.5671E-07
  0.0456  -0.599E+02  0.1778E+01  0.2808E-03  0.4816E-03 -0.3317E+01    0.0245  0.5914E-07
  0.0424  -0.756E+02  0.1879E+01  0.1485E-03  0.1119E-03 -0.3951E+01    0.0163  0.6081E-07
  0.0403  -0.955E+02  0.1980E+01  0.7840E-04  0.2596E-04 -0.4586E+01    0.0109  0.6194E-07
  0.0388  -0.120E+03  0.2081E+01  0.4138E-04  0.6019E-05 -0.5220E+01    0.0072  0.6270E-07
  0.0379  -0.152E+03  0.2182E+01  0.2184E-04  0.1395E-05 -0.5855E+01    0.0048  0.6321E-07
  0.0373  -0.192E+03  0.2283E+01  0.1152E-04  0.3233E-06 -0.6490E+01    0.0032  0.6355E-07
  0.0368  -0.242E+03  0.2384E+01  0.6078E-05  0.7491E-07 -0.7125E+01    0.0021  0.6377E-07
  0.0366  -0.305E+03  0.2485E+01  0.3206E-05  0.1736E-07 -0.7761E+01    0.0014  0.6392E-07
  0.0364  -0.385E+03  0.2586E+01  0.1691E-05  0.4021E-08 -0.8396E+01    0.0009  0.6402E-07
  0.0362  -0.486E+03  0.2687E+01  0.8922E-06  0.9317E-09 -0.9031E+01    0.0006  0.6408E-07
  0.0362  -0.614E+03  0.2788E+01  0.4706E-06  0.2159E-09 -0.9666E+01    0.0004  0.6412E-07
  0.0361  -0.774E+03  0.2889E+01  0.2483E-06  0.5001E-10 -0.1030E+02    0.0003  0.6414E-07
  0.0361  -0.977E+03  0.2990E+01  0.1310E-06  0.1159E-10 -0.1094E+02    0.0002  0.6416E-07
  0.0360  -0.123E+04  0.3091E+01  0.6908E-07  0.2685E-11 -0.1157E+02    0.0001  0.6416E-07
  0.0360  -0.156E+04  0.3192E+01  0.3644E-07  0.6220E-12 -0.1221E+02    0.0001  0.6415E-07
  0.0360  -0.196E+04  0.3293E+01  0.1922E-07  0.1441E-12 -0.1284E+02    0.0001  0.6414E-07
  0.0360  -0.248E+04  0.3394E+01  0.1014E-07  0.3339E-13 -0.1348E+02    0.0000  0.6412E-07
  0.0360  -0.313E+04  0.3495E+01  0.5349E-08  0.7735E-14 -0.1411E+02    0.0000  0.6409E-07
  0.0360  -0.394E+04  0.3596E+01  0.2821E-08  0.1792E-14 -0.1475E+02    0.0000  0.6405E-07
  0.0360  -0.498E+04  0.3697E+01  0.1488E-08  0.4152E-15 -0.1538E+02    0.0000  0.6401E-07
  0.0360  -0.628E+04  0.3798E+01  0.7851E-09  0.9620E-16 -0.1602E+02    0.0000  0.6395E-07
  0.0360  -0.792E+04  0.3899E+01  0.4141E-09  0.2229E-16 -0.1665E+02    0.0000  0.6387E-07
  0.0360  -0.100E+05  0.4000E+01  0.2185E-09  0.5164E-17 -0.1729E+02    0.0000  0.6378E-07
end
