"Index" "Sonde 50-04" "Sonde 50-05/47-01" "Sonde 50-07"
"2017-05-11 15:00:05" 46.564261288844 36.2818443714389 15.7757436553494
"2017-05-11 16:00:05" 46.8369696101658 35.9038092502765 15.3745902459462
"2017-05-11 17:00:05" 47.1677193577022 36.9145967900151 15.647633531129
"2017-05-11 18:00:05" 47.0999103805048 36.9145967900151 15.2345587995031
"2017-05-11 19:00:05" 46.7690432145623 36.4574840346786 14.8206519633157
"2017-05-11 20:00:05" 46.6963848416183 36.1681702815634 14.4737992417445
"2017-05-11 21:00:05" 46.6283404155207 36.142456644513 14.1089907576128
"2017-05-11 22:00:05" 46.6963848416183 36.3498261228753 14.3328965212747
"2017-05-11 23:00:05" 47.0319839849012 36.5532237132489 14.5415635364403
"2017-05-12 00:00:05" 47.0319839849012 36.3437289442227 14.3328965212747
"2017-05-12 01:00:05" 47.0319839849012 36.3946473728342 14.8154437922282
"2017-05-12 02:00:05" 46.899567179018 36.5532237132489 14.8154437922282
"2017-05-12 03:00:05" 47.2302290029112 36.6837455103661 15.161876752188
"2017-05-12 04:00:05" 47.2302290029112 36.7284861965279 14.8154437922282
"2017-05-12 05:00:05" 47.2302290029112 36.6837455103661 14.8154437922282
"2017-05-12 06:00:05" 47.5898042914879 36.9593374761768 15.2293892117163
"2017-05-12 07:00:05" 47.6576132686853 37.1364416503883 15.3697092845259
"2017-05-12 08:00:05" 48.6682155374598 38.1205467251535 16.387476090936
"2017-05-12 09:00:05" 49.5659883657185 39.3705304741251 17.004484672441
"2017-05-12 10:00:05" 49.2966897893605 38.8235938162068 16.5269592792519
"2017-05-12 11:00:05" 49.0930676600655 38.7290996584486 17.0763854766624
"2017-05-12 12:00:05" 49.4929758282391 39.6555353127455 17.0092455602394
"2017-05-12 13:00:05" 49.5600841238956 40.387311609579 18.4739562378295
"2017-05-12 14:00:05" 49.0873985544528 38.8682661694254 16.3943171560537
"2017-05-12 15:00:05" 49.2857218074991 39.2486445165028 17.0763854766624
"2017-05-12 16:00:05" 48.9488944059411 38.4555879192183 16.3943171560537
"2017-05-12 17:00:05" 49.8483180469103 38.0603709542369 15.8432561148777
"2017-05-12 18:00:05" 86.7785208389844 67.8831322202527 19.4372965597579
"2017-05-12 19:00:05" 73.3591490643459 69.8751187267989 24.0144489825028
"2017-05-12 20:00:05" 72.4954596976344 69.5243356383978 24.1096145341582
"2017-05-12 21:00:05" 65.9293989442749 45.8288067288808 23.1865224706248
"2017-05-12 22:00:05" 61.6961342994117 44.6285230374788 22.5407236915381
"2017-05-12 23:00:05" 59.0132345315556 43.9749398994531 22.2153187041037
"2017-05-13 00:00:05" 57.2481594995624 43.3648497691204 21.8968385886363
"2017-05-13 01:00:05" 74.4675135155732 42.8547114232003 21.649271200434
"2017-05-13 02:00:05" 73.5120007633878 42.3694286966164 21.6194481473283
"2017-05-13 03:00:05" 73.3190194166365 41.7925611703655 21.6194481473283
"2017-05-13 04:00:05" 71.8315890874534 41.6428849738069 21.6194481473283
"2017-05-13 05:00:05" 71.3148783957428 41.1807190584017 21.7793476860931
"2017-05-13 06:00:05" 70.9578865126796 40.9198052644092 21.6666679475624
"2017-05-13 07:00:05" 70.6605660747658 40.8561229693593 21.9410707464797
"2017-05-13 08:00:05" 70.5901855005026 40.9426552164909 22.1698435824762
"2017-05-13 09:00:05" 70.2321487568273 40.6944941790339 22.2434097174658
"2017-05-13 10:00:05" 70.3771092422161 40.4646696581774 22.336712786924
"2017-05-13 11:00:05" 69.9342332603622 40.0961572089122 22.336712786924
"2017-05-13 12:00:05" 114.381165520339 53.4229450749464 23.5106924618286
"2017-05-13 13:00:05" 97.0518928901974 55.5912463282709 23.295047584678
"2017-05-13 14:00:05" 80.0750195440207 52.7385727802238 29.6671077205559
"2017-05-13 15:00:05" 75.0458710448716 52.1399563627749 29.1381351546412
"2017-05-13 16:00:05" 72.3641989975015 51.0874778364007 28.3303524413445
"2017-05-13 17:00:05" 70.6161563097472 50.3046903337949 28.2876077089259
"2017-05-13 18:00:05" 69.7064892241571 49.8779303350736 27.976152776801
"2017-05-13 19:00:05" 68.7546790028956 48.9449865900205 27.7985916034805
"2017-05-13 20:00:05" 67.7881061247172 48.3452124543782 27.2793317855392
"2017-05-13 21:00:05" 67.3028612325628 47.7869249041794 26.8541612333641
"2017-05-13 22:00:05" 66.7478657154224 47.466087960478 26.8541612333641
"2017-05-13 23:00:05" 66.6579788922723 47.2589000552584 26.9862885546473
"2017-05-14 00:00:05" 66.5629393849396 47.1263938151466 27.2132942159815
"2017-05-14 01:00:05" 66.1473574514187 46.5447332803654 26.8651763484699
"2017-05-14 02:00:05" 65.9352310395642 46.3453629135527 26.7726343170335
"2017-05-14 03:00:05" 65.439312144243 46.1446335534816 26.8651763484699
"2017-05-14 04:00:05" 65.5854813144708 45.9417255936637 26.6508186721747
"2017-05-14 05:00:05" 65.1205983629641 45.7458353202323 26.8518747895409
"2017-05-14 06:00:05" 65.3971732376742 45.7400131778325 27.1857023254044
"2017-05-14 07:00:05" 65.4638744487213 46.1508568930753 27.5758212037499
"2017-05-14 08:00:05" 66.2676045231524 46.8069366185809 28.5479635599159
"2017-05-14 09:00:05" 66.3498193569947 47.6150342081704 28.7721376020742
"2017-05-14 10:00:05" 65.9416998934462 46.913233703259 28.5581325121989
"2017-05-14 11:00:05" 65.6263401888185 46.408314807535 28.4508653097859
"2017-05-14 12:00:05" 64.9650698984376 45.5771022657676 28.0473796459923
"2017-05-14 13:00:05" 64.6489181078791 45.3473753043471 27.6431442940443
